concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,concept_code,table_name,record_count,patient_count,patient_coverage_pct,units,coverage_7,coverage_Amsterdam UMC Epic,coverage_Amsterdam UMC Metavision Meibergdreef,coverage_Catharina Ziekenhuis Eindhoven,coverage_Franciscus Gasthuis,coverage_OLVG,coverage_Radboudumc,coverage_UMC Utrecht,coverage_Amsterdam UMC Metavision Boelelaan
4124377,Venous catheter,Device,SNOMED,Physical Object,303728004,device_exposure,111115,45145,35.64266540344229,,,42.14406813074163,,24.040178571428573,73.12423124231242,,,,97.08249496981891
4070667,Urinary catheter,Device,SNOMED,Physical Object,20568009,device_exposure,108146,83337,65.79583135954523,,17.529510177525793,27.49280447896542,66.02757325690567,24.352678571428573,49.2619926199262,,16.51615249409055,91.12797696937974,89.71327967806842
4097216,Endotracheal tube,Device,SNOMED,Physical Object,26412008,device_exposure,71122,59351,46.858518869414176,,9.350311367227437,15.960257067381619,51.62820576172358,,,78.68238304093568,,72.88667887987438,72.00704225352112
4063122,Nasogastric tube,Device,SNOMED,Physical Object,17102003,device_exposure,52230,32120,25.35922943312806,,25.104563621154384,,,12.1875,22.878228782287824,80.86165935672514,23.862052245590643,39.07354095786443,1.2022132796780685
4121351,Chest drain,Device,SNOMED,Physical Object,258643002,device_exposure,46568,30078,23.747039317858835,,5.177061065154754,2.188226944762055,32.22315560606809,21.026785714285715,8.118081180811808,,5.466997999878781,,5.895372233400402
4225137,Colostomy bag,Device,SNOMED,Physical Object,339648008,device_exposure,43068,5396,4.260224222327491,,0.38107630820708244,0.792493001616528,,1.2723214285714286,0.24600246002460024,19.892178362573098,,,1.4688128772635816
45772272,Nasogastric feeding tube,Device,SNOMED,Physical Object,465037000,device_exposure,24244,14018,11.067424601294805,,,,,1.5848214285714286,1.6605166051660516,,,,69.57243460764587
4119547,Wound drain,Device,SNOMED,Physical Object,258646005,device_exposure,24224,13548,10.696352439602084,,4.368435728227531,4.0649765406300515,0.321193852843801,4.0625,3.259532595325953,,0.012121946784653616,,26.98189134808853
4179206,Central venous catheter,Device,SNOMED,Physical Object,52124006,device_exposure,18883,15762,12.444339175746093,,,11.61928793912392,1.8876315659435687,,,,,,58.27967806841046
4044008,Tracheostomy tube,Device,SNOMED,Physical Object,129121000,device_exposure,6626,3544,2.7980420022106425,,1.1804071010316943,,6.176804862380788,0.4017857142857143,2.8290282902829027,2.7046783625730995,0.28486574943935994,,5.804828973843058
4118298,Arterial catheter,Device,SNOMED,Physical Object,303727009,device_exposure,4548,3487,2.7530396336649297,,,,,,,,,90.97095001308558,
4262295,Pulmonary artery catheter,Device,SNOMED,Physical Object,397755005,device_exposure,3977,3760,2.9685772935417654,,,,0.3656668478529426,,,,,,18.40543259557344
4178391,Heat and moisture exchanger,Device,SNOMED,Physical Object,297117007,device_exposure,3015,611,0.48239381020053684,,,,,,,,,2.015179272441769,2.6106639839034207
605914,Continuous positive airway pressure bilevel positive airway pressure face mask,Device,SNOMED,Physical Object,1141760009,device_exposure,2949,405,0.319753671245855,,,,,,,,,,2.007042253521127
36674387,Nasoduodenal feeding tube,Device,SNOMED,Physical Object,773725001,device_exposure,2696,1892,1.4937628296226118,,2.1842178641137653,2.5627883136852896,,,,,,2.8526563726773095,0.9758551307847082
