concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,concept_code,table_name,record_count,patient_count,patient_coverage_pct,units,coverage_7,coverage_Amsterdam UMC Epic,coverage_Amsterdam UMC Metavision Meibergdreef,coverage_Catharina Ziekenhuis Eindhoven,coverage_Franciscus Gasthuis,coverage_OLVG,coverage_Radboudumc,coverage_UMC Utrecht,coverage_Amsterdam UMC Metavision Boelelaan
40762499,Oxygen saturation in Arterial blood by Pulse oximetry,Measurement,LOINC,Clinical Observation,59408-5,measurement,49401321,62822,49.5989262592768,", %, mol/mol",99.25643647179106,96.1282182707093,,99.375,98.70848708487085,,94.92696527062246,99.50274797173515,
3004921,Ventilation mode Ventilator,Measurement,LOINC,Clinical Observation,20124-4,measurement,45584944,92573,73.08779409442602,,,78.05464653235028,81.30157632060087,60.02232142857143,96.55596555965559,84.671966374269,66.08279289653919,4.422925935618948,75.07042253521126
42527086,Mean airway pressure,Measurement,LOINC,Clinical Observation,60949-5,measurement,38540900,78276,61.80009474182852,"cm H2O, cm-H2O, mbar, , cmH2O",,75.14883885975634,0.3310767406236102,68.19196428571429,66.11316113161132,82.62518274853801,66.05854900296988,77.78068568437581,71.65492957746478
3017453,ST deviation,Measurement,LOINC,Clinical Observation,30935-1,measurement,35505062,57016,45.015000789515234,"mm, ",17.99423738265638,79.02062058904704,,,,98.16337719298245,3.503242620764895,,
3035357,Carbon dioxide [Partial pressure] in Exhaled gas --at end expiration,Measurement,LOINC,Clinical Observation,19891-1,measurement,31024037,98377,77.6701405337123,"mmHg, kPa, Geen, mm Hg, %",77.52579235988475,75.07392658597169,78.28235410386915,11.361607142857142,30.688806888068882,80.54641812865498,24.16510091520698,86.2339701648783,58.64185110663984
21490852,Invasive Mean blood pressure,Measurement,LOINC,Clinical Observation,76214-6,measurement,29722428,112332,88.68782567503553,"mmHG/lsb., , mm Hg, mmHG, mmHg",97.42541128357654,91.24314946969996,95.36492563126946,,,95.93384502923976,76.23492332868659,95.05365087673384,94.13983903420524
3027018,Heart rate,Measurement,LOINC,Clinical Observation,8867-4,measurement,29282852,97338,76.84983420180009,"/min, bpm, , ./min, sl/min",38.36787805558137,0.5835271852698813,99.69363047882591,99.33035714285714,98.76998769987699,99.20047514619883,94.70270925510637,,99.71830985915493
3020716,Inhaled oxygen concentration,Measurement,LOINC,Clinical Observation,3150-0,measurement,25919870,52223,41.23085425548713,"%, Geen, ",0.0278836323078353,14.367385561644916,,,,85.26589912280701,21.655857930783682,,72.13782696177063
3022875,Positive end expiratory pressure setting Ventilator,Measurement,LOINC,Clinical Observation,20077-4,measurement,24963948,96881,76.48902573819674,"mbar, cm H2O, , cmH2O",10.800260247234872,77.71951267594527,78.24776399663982,58.794642857142854,67.09717097170972,66.02247807017544,61.258258076247046,78.22559539387595,71.84607645875252
2000000238,Vent mechanics peak airway pressure,Measurement,ICUdata,Observable Entity,2000000238,measurement,23971359,100206,79.11416390336333,"mbar, cm H2O, , cmH2O, mmHg",75.42522539269449,74.58108267949375,81.3262835400504,68.30357142857143,67.40467404674047,82.76681286549707,61.05824595430026,77.78068568437581,71.66498993963782
3001376,Heart rate by Pulse oximetry,Measurement,LOINC,Clinical Observation,8889-8,measurement,21325162,77778,61.40691615348176,", 1/min, sl/min, bpm",99.47021098615113,98.99065567953318,,,,93.97386695906432,94.44814837262865,99.2672075372939,
21490724,Inspiration/Expiration time Ratio,Measurement,LOINC,Clinical Observation,75931-6,measurement,17896117,45072,35.58503079109427,"Geen, ",42.150757505344366,42.191381145763515,,,,11.271016081871345,58.221710406691315,0.02617115938236064,
21490753,Volume expired per minute Respiratory system,Measurement,LOINC,Clinical Observation,75959-7,measurement,17436417,69415,54.804200221064264,"l, ml, l/min, L/min",,74.2380633205851,0.02964866333942778,50.982142857142854,27.736777367773676,82.7531067251462,61.22795320928541,,74.95975855130784
21490853,Invasive Systolic blood pressure,Measurement,LOINC,Clinical Observation,76215-3,measurement,17051978,112100,88.5046581399021,", mmHg, mm Hg",97.27669857793475,91.1012104246343,95.23150664624204,,,95.92927631578948,75.99248439299352,95.02747971735148,94.14486921529175
36303816,Tidal volume.inspired,Measurement,LOINC,Clinical Observation,76221-1,measurement,16984952,81616,64.43707563555976,"l, ml, mL, ",,72.70039033237393,28.823442209813706,47.767857142857146,57.19557195571956,83.71253654970761,71.73162009818778,14.812876210416121,71.77062374245473
3024171,Respiratory rate,Measurement,LOINC,Clinical Observation,9279-1,measurement,16660641,61576,48.615190273172274,"bpm, /min, , ./min, PER MINUTE",99.10772376614928,98.6082088081063,,,,98.45577485380117,,98.97932478408794,
1175625,Breath rate spontaneous,Measurement,LOINC,Clinical Observation,76528-9,measurement,16161798,46967,37.08116216642981,"br/min, bpm, , 1/min, sl/min",,74.69147971454481,99.33784651875278,53.325892857142854,31.61131611316113,,15.679738165949452,,
21490563,Gas delivery system inspiratory Oxygen setting [VFr/PPres],Measurement,LOINC,Clinical Observation,60799-4,measurement,15676934,17053,13.463603347544607,"%, ",,,,89.28571428571429,83.33333333333333,35.800438596491226,19.546639190253956,,
3009603,Volume expired 1 minute,Measurement,LOINC,Clinical Observation,20139-2,measurement,15466913,3217,2.5398705195010263,,,,,,,,17.891993454148736,,
21490851,Invasive Diastolic blood pressure,Measurement,LOINC,Clinical Observation,76213-8,measurement,14418785,92743,73.22201168482552,", mmHg, mm Hg",97.27669857793475,69.0415171706817,95.23150664624204,,,95.92013888888889,0.06667070731559488,95.02747971735148,94.13983903420524
3043148,Breath rate mechanical --on ventilator,Measurement,LOINC,Clinical Observation,33438-3,measurement,14358810,50558,39.916311384809724,"sl/min, , l/min, /min, bpm",,,78.39106586944705,69.73214285714286,32.103321033210335,83.75822368421052,61.24613612946239,,4.336016096579477
3022318,Heart rate rhythm,Measurement,LOINC,Clinical Observation,8884-9,measurement,13686620,119441,94.30048949944734,,99.03336741332838,98.47021251429247,99.56021149379849,,,98.78929093567251,94.17540456997394,99.0054959434703,99.1851106639839
3016226,PEEP Respiratory system,Measurement,LOINC,Clinical Observation,20075-8,measurement,11768564,77217,60.96399810516343,"cm-H20, mmHg, , cmH2O, cm H2O, mbar",,5.6026495288412255,80.90626080940851,68.32589285714286,49.7539975399754,83.98665935672514,62.84623310503667,14.786705051033762,75.18108651911469
21490696,Oxygen [VFr/PPres] Gas delivery system,Measurement,LOINC,Clinical Observation,61018-8,measurement,11420978,33725,26.626401389546817,", Geen, %",99.7676363974347,3.138429996451524,,9.84375,,3.193530701754386,23.625674283289896,,75.3420523138833
21490872,Heart rate.beat-to-beat by EKG,Measurement,LOINC,Clinical Observation,76282-3,measurement,9788072,25885,20.43660192641718,"/min, ",0.2509526907705177,98.83688838071205,,,,,,,
3008828,Urine output 8 hour,Measurement,LOINC,Clinical Observation,9189-2,measurement,9625218,21697,17.130112111163747,ml,,85.34479359697197,,,,,,,
3020891,Body temperature,Measurement,LOINC,Clinical Observation,8310-5,measurement,9543495,56888,44.9139428390968,"ºC, , °C",60.637605725439165,61.23486969207113,,96.16071428571429,,3.0290570175438596,5.042729862415904,96.49306464276367,15.90543259557344
3026238,Oxygen/Inspired gas Respiratory system --on ventilator,Measurement,LOINC,Clinical Observation,19996-8,measurement,9261511,36820,29.069951050055266,"%, fractie, ",,79.61203327682057,,,,,63.428086550700044,,
3032445,Ideal body weight,Measurement,LOINC,Clinical Observation,50064-5,measurement,8976946,50986,40.254223906521396,"Kg, kg, ",94.02360814202063,52.88017978945708,,,,13.240131578947368,62.80380629129038,,
3017485,Carbon dioxide/Gas.total.at end expiration in Exhaled gas,Measurement,LOINC,Clinical Observation,19889-5,measurement,8646288,1082,0.8542554871309016,%,,,,0.29017857142857145,63.53013530135301,,,,
3012410,Tidal volume setting Ventilator,Measurement,LOINC,Clinical Observation,20112-9,measurement,8526455,47996,37.89357334596558,"mL, L, , ml",9.907984013384144,14.812916453100973,0.0988288777980926,,,,66.93739014485726,1.3870714472651138,32.32897384305835
3007469,Breath rate setting Ventilator,Measurement,LOINC,Clinical Observation,19834-1,measurement,8520569,68769,54.29417337754619,"p/min, , ./min, br/min, /min, bpm",6.84078445952226,76.72199660923393,45.70835598161783,48.973214285714285,47.355473554735546,19.49470029239766,,1.674954200471081,71.94668008048289
3000333,Central venous pressure (CVP) Mean,Measurement,LOINC,Clinical Observation,8591-0,measurement,7828765,67739,53.48097268277278,"mm Hg, mmHg",72.56250580909007,58.73516539841501,76.97287147304442,,,83.31962719298245,2.7941087338626582,68.2805548285789,2.4346076458752517
42527140,Total PEEP Respiratory system,Measurement,LOINC,Clinical Observation,76247-6,measurement,7351336,12819,10.120795831359546,"cm H2O, cmH2O, ",1.9332651733432475,5.287229428695343,,29.665178571428573,49.44649446494465,2.768640350877193,7.448936299169647,,8.626760563380282
21490581,Lung compliance,Measurement,LOINC,Clinical Observation,60826-5,measurement,6962522,45572,35.97978840991631,"mL/cmH20, , ml/cmH20, ml/cmH2O, ml/mbar, mL/cm H2O",,49.09908133895833,25.586796461926173,0.11160714285714286,1.968019680196802,71.10745614035088,,76.91703742475792,
3022060,Rectal temperature,Measurement,LOINC,Clinical Observation,8332-9,measurement,6502172,53159,41.969840517921995,"°C, , C'",46.379775072032714,26.018215510783424,41.4092997974008,44.24107142857143,,87.71472953216374,0.9030850354566944,0.287882753205967,8.943661971830986
21490754,Inspired minute Volume,Measurement,LOINC,Clinical Observation,75960-5,measurement,6203387,50449,39.83025422390652,"mL, l/min, L/min",,,81.28675198893117,,,16.260051169590643,62.90684283895994,,71.64989939637827
36304439,Pressure.plateau Respiratory system airway,Measurement,LOINC,Clinical Observation,60829-9,measurement,5924317,40010,31.588504658139904,"cm H2O, cmH2O, , cmH20, mbar",3.4018031415559067,54.28774198635808,,19.598214285714285,42.435424354243544,27.275219298245613,6.691314625128796,14.629678094739598,3.3048289738430583
3009065,Inspiration/Expiration setting Ventilator,Measurement,LOINC,Clinical Observation,19974-5,measurement,5868898,28115,22.197220906363494,"cmH2O, , Geen, %",,,0.09388743390818798,38.705357142857146,42.55842558425584,12.111659356725147,56.130674586338564,,62.469818913480886
3003841,Heart rate Peripheral artery by palpation,Measurement,LOINC,Clinical Observation,8893-0,measurement,5638654,17593,13.889941575872415,"/min, 1/min",,14.229389267831092,,0.022321428571428572,0.06150061500615006,,,,
3005629,Inhaled oxygen flow rate,Measurement,LOINC,Clinical Observation,3151-8,measurement,5529669,112305,88.66650876361913,"cmH2O, , l/min, Geen, l, L/min",86.24407472813459,85.12399952686985,87.24119187626624,63.90625,68.26568265682657,87.78326023391813,85.34456633735378,85.89374509290762,89.30080482897384
21490752,Tidal volume expired Respiratory system airway,Measurement,LOINC,Clinical Observation,75958-9,measurement,5453954,55610,43.904942365387654,"mL, ml, L/min",,73.79647518038087,72.15990512427732,,,77.03764619883042,,77.91154148128763,
36304672,Inspiratory time setting Ventilator,Measurement,LOINC,Clinical Observation,76334-2,measurement,5392971,47050,37.14669193115427,"s, msec, sec",,41.94298781689863,,,,59.38870614035088,,0.6804501439413766,63.440643863179076
3045410,Minute volume setting Ventilator,Measurement,LOINC,Clinical Observation,33425-0,measurement,5387614,37586,29.674719722090636,"l/min, bpm, /min, L/min, ",11.57170740775165,64.43638370855183,5.974205662894698,,,14.565058479532164,,0.49725202826485215,32.57545271629779
2000000211,Inspiratory Pressure Above PEEP,Measurement,ICUdata,Observable Entity,2000000211,measurement,5211713,18008,14.21759039949471,", cmH2O",,21.708788392540313,,,,3.686951754385965,,,
3027315,Oxygen [Partial pressure] in Blood,Measurement,LOINC,Lab Test,11556-8,measurement,5010476,69739,55.06000315806095,"kPa, mm Hg, mmHg, ",99.7583418533321,67.2317943460947,,,,96.72880116959064,,0.05234231876472128,92.34406438631791
4353622,Expiratory time,Measurement,SNOMED,Observable Entity,250820008,measurement,4860817,13970,11.02952786988789,"sec, s",0.9945162189794591,35.902692899105,0.15318476058704353,,,,,,
21492241,Mean blood pressure by Noninvasive,Measurement,LOINC,Clinical Observation,76536-2,measurement,4787524,86714,68.46202431706932,"mmHG, mm Hg, , mmHg",23.83121107909657,56.62579347868943,62.35608044670653,,,49.02686403508772,91.33886902236499,42.397278199424235,46.31287726358149
2000000114,peripheral_flow_index,Measurement,ICUdata,Observable Entity,2000000114,measurement,4743757,14035,11.080846360334755,,99.11701831025188,1.5337302369593502,,,,,,,
3013290,Carbon dioxide [Partial pressure] in Blood,Measurement,LOINC,Lab Test,11557-6,measurement,4726658,62918,49.674719722090636,"kPa, , mmHg",99.7583418533321,37.357568111027874,,,,97.22679093567251,,,92.53018108651912
21490580,Carbon dioxide production (VCO2) in Respiratory system,Measurement,LOINC,Clinical Observation,60825-7,measurement,4664239,40561,32.023527554081795,"ml/min, , mL/min, ml",1.5243052328283297,28.58888932697236,,,,68.3296783625731,2.4789381174616643,,62.02213279678068
